customer_id,id,purchase_ts,product_id,product_name,currency,local_price,usd_price,purchase_platform
29bb865f,302cc84b785,3/3/2021,03ca,Apple Airpods Headphones,ILS,449.9,135.57,website
c79310ae,68af2a1a9a2,11/14/2019,03ca,Apple Airpods Headphones,EUR,99.9,108.58,website
337a5c9b,6fe8f2a20a5,1/30/2021,03ca,Apple Airpods Headphones,USD,119.9,119.9,website
fbebbfa6,2ad1c435942,2/23/2020,03ca,Apple Airpods Headphones,USD,119.9,119.9,website
90411b85,e8f07f649f5,6/7/2020,03ca,Apple Airpods Headphones,USD,119.9,119.9,website
adb0306e,eba06166e04,6/17/2021,03ca,Apple Airpods Headphones,USD,119.9,119.9,website
adbfbc3d,588a751e2d0,5/17/2020,04ac,ThinkPad Laptop,USD,929.5,929.5,website
6.86E+83,1a0f82b2cd6,11/29/2020,04ac,ThinkPad Laptop,USD,898.5,898.5,website
32c09901,8655259baa4,4/14/2021,04ac,ThinkPad Laptop,USD,898.5,898.5,website
9ba7511c,6a259ed9d1d,3/22/2021,04ac,ThinkPad Laptop,USD,898.5,898.5,website
344adf4d,1629de2a68d,4/12/2019,04ac,ThinkPad Laptop,USD,898.5,898.5,website
59a6b8a2,6179cfa7816,10/27/2019,04ac,ThinkPad Laptop,USD,898.5,898.5,website
0ee15508,f1c960173ff,6/19/2021,04ac,ThinkPad Laptop,USD,898.5,898.5,website
e152339f,9a8fc34ab5d,10/17/2019,04ac,ThinkPad Laptop,USD,898.5,898.5,website
f5b9e917,71fc96c305d,7/21/2020,04ac,ThinkPad Laptop,USD,898.5,898.5,website
b8df0a38,1396384f8fb,12/14/2022,04ac,ThinkPad Laptop,USD,898.5,898.5,website
140f99b1,7317c317e2a,7/20/2022,04ac,ThinkPad Laptop,USD,898.5,898.5,website
a7164c5a,3edd94f35dc,1/12/2020,04ac,ThinkPad Laptop,USD,898.5,898.5,website
db02fae5,feb83eded91,11/9/2022,04ac,ThinkPad Laptop,USD,898.5,898.5,website
644c8a05,d383989630e,9/30/2022,04ac,ThinkPad Laptop,USD,898.5,898.5,website
41eb6d74,c2bd4215772,1/3/2021,04ac,ThinkPad Laptop,USD,898.5,898.5,website
2bc7a38d,793ca466415,1/26/2020,04ac,ThinkPad Laptop,USD,898.5,898.5,website
1bcc0161,7010175a3a9,3/2/2021,04ac,ThinkPad Laptop,USD,898.5,898.5,website
1acd9e04,aa45d13b30d,7/1/2021,04ac,ThinkPad Laptop,USD,898.5,898.5,website
3e75e7fb,fa70ae23e86,8/13/2020,04ac,ThinkPad Laptop,USD,898.5,898.5,website
de492dbb,18953250ce0,4/5/2020,04ac,ThinkPad Laptop,USD,1030,1030,website
1f7991e9,b8f20b363e4,10/23/2020,04ac,ThinkPad Laptop,USD,1030,1030,website
a6831b98,5dd38532104,12/16/2020,04ac,ThinkPad Laptop,USD,1030,1030,website
d99e5a18,b212caa8926,11/2/2021,04ac,ThinkPad Laptop,USD,1030,1030,website
2d28762a,d60f1d4fd52,7/25/2021,04ac,ThinkPad Laptop,USD,1030,1030,website
ce59d9b1,4c275f7c20d,9/11/2021,04ac,ThinkPad Laptop,USD,1030,1030,website
b8ed612e,457c28c8ae3,5/15/2020,04ac,ThinkPad Laptop,USD,1030,1030,website
6d97f986,47bab597a25,8/16/2022,04ac,ThinkPad Laptop,USD,1030,1030,website
8714e62e,7b9059147cd,8/22/2020,04ac,ThinkPad Laptop,USD,1030,1030,website
81a642d7,d1a2aee8d3f,7/10/2020,04ac,ThinkPad Laptop,USD,1030,1030,website
531f1f94,abb9836568d,5/26/2020,04ac,ThinkPad Laptop,USD,1030,1030,website
a843a098,6a2a5bc1e32,12/20/2022,04ac,ThinkPad Laptop,USD,1030,1030,website
112e5693,9802bff5d98,4/16/2021,04ac,ThinkPad Laptop,EUR,922.84,1099.75,website
b7b7000e,f55de73ad20,9/15/2020,04ac,ThinkPad Laptop,GBP,958,1229.5,website
f53f3d08,effbbd176bf,12/12/2020,04ac,ThinkPad Laptop,CAD,1298,967.75,website
918ab28f,efe83425be0,9/19/2020,04ac,ThinkPad Laptop,CAD,1298,967.75,website
c3fe529f,3987c7bf276,10/26/2020,04ac,ThinkPad Laptop,CAD,1298,967.75,website
30f9cd5b,4036f13c8a8,2/2/2021,04ac,ThinkPad Laptop,DKK,7798,1237.5,website
4b679b54,9812099543f,3/27/2022,04ac,ThinkPad Laptop,USD,875.5,875.5,website
42821bd3,ad5d91592f2,9/20/2022,04ac,ThinkPad Laptop,KRW,1243998,939.75,website
7458c02c,c67b0c466cc,1/4/2020,04ac,ThinkPad Laptop,EUR,608.44,652.75,website
65f37390,fdeb21ac783,4/9/2019,04ac,ThinkPad Laptop,EUR,827.92,909.25,website
91c529ec,baeb6f0a45e,1/2/2020,04ac,ThinkPad Laptop,USD,718,718,website
c01be25d,e4379fa229a,4/17/2021,04ac,ThinkPad Laptop,CHF,947.94,1009.75,website
30eeccf4,1a5507fb5f5,7/3/2019,04ac,ThinkPad Laptop,JPY,119800,1068.5,website
a2fcbf9b,4341c6e50a4,5/23/2021,04ac,ThinkPad Laptop,USD,599,599,website
0460cf93,61ffe6e2236,2/27/2019,04ac,ThinkPad Laptop,USD,1198,1198,website
f894b645,0468738834d,3/11/2019,04ac,ThinkPad Laptop,USD,1198,1198,website
d55863fa,56ddcc6ef87,2/1/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
da10a58e,071a5b28115,8/3/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
132bdb19,dbe7d10a0fd,8/6/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
43b4ddb1,98d54df9c63,8/10/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
f2735b5e,15e7100ae9b,9/3/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
edeb276a,43c3553f80b,1/18/2021,04ac,ThinkPad Laptop,USD,1198,1198,website
6c40fa65,706fdf908bd,3/6/2021,04ac,ThinkPad Laptop,USD,1198,1198,website
bffce39a,8c03278e99f,8/3/2021,04ac,ThinkPad Laptop,USD,1198,1198,website
aa813851,1237c8e63c2,5/5/2022,04ac,ThinkPad Laptop,USD,1198,1198,website
0dd2065e,c48398e0a77,2/15/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
6e83e0bf,35d60fca933,2/19/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
9321f54d,5ed10ed58d4,9/29/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
7faf63c1,170cd9eafb6,2/28/2021,04ac,ThinkPad Laptop,USD,1198,1198,website
fcda9ef7,9ce92c6e133,8/29/2021,04ac,ThinkPad Laptop,USD,1198,1198,website
59ec3f32,ce38d27baa0,10/2/2021,04ac,ThinkPad Laptop,USD,1198,1198,website
7f1e5c50,73eba07b65b,11/14/2021,04ac,ThinkPad Laptop,USD,1198,1198,website
5232e42e,c07e4787a35,1/17/2022,04ac,ThinkPad Laptop,USD,1198,1198,website
b7527d62,83604400340,7/31/2022,04ac,ThinkPad Laptop,USD,1198,1198,website
3b3ce29c,3bbc1c808e7,1/29/2019,04ac,ThinkPad Laptop,USD,1198,1198,website
368246b9,6229b2da4ab,3/17/2019,04ac,ThinkPad Laptop,USD,1198,1198,website
0dc969bb,5f69c157754,6/4/2019,04ac,ThinkPad Laptop,USD,1198,1198,website
81620494,b613bba9923,10/16/2019,04ac,ThinkPad Laptop,USD,1198,1198,website
f35c652c,2f9b264e321,3/21/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
523e7f1b,fb625aa9d80,5/5/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
5b34de85,7af6dd423ae,5/14/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
d56b1e6f,37dc5e7ddef,5/27/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
fd0e2cbf,60aba876b84,9/20/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
10c871f8,4092741bc46,5/5/2021,04ac,ThinkPad Laptop,USD,1198,1198,website
d24f9911,98952606a0b,3/28/2022,04ac,ThinkPad Laptop,USD,1198,1198,website
0f0a4f81,1a0b8b93709,12/5/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
dae2b2bf,8923574a38a,5/17/2021,04ac,ThinkPad Laptop,USD,1198,1198,website
6b15d812,2040132f27a,8/27/2021,04ac,ThinkPad Laptop,USD,1198,1198,website
367f6c90,b75dc10ad48,1/2/2022,04ac,ThinkPad Laptop,USD,1198,1198,website
d4cd7af5,bdbf6356a3a,4/19/2022,04ac,ThinkPad Laptop,USD,1198,1198,website
5af6c8a2,b534a0c02bc,6/16/2022,04ac,ThinkPad Laptop,USD,1198,1198,website
24fd5ca6,68278aca18b,6/21/2022,04ac,ThinkPad Laptop,USD,1198,1198,website
f24ed562,31e3039a2b6,1/25/2019,04ac,ThinkPad Laptop,USD,1198,1198,website
369ce285,a209c7ce314,9/9/2020,04ac,ThinkPad Laptop,USD,1198,1198,website
599fcdf2,e21c1abd51b,3/14/2021,04ac,ThinkPad Laptop,USD,1198,1198,website
